Package,Class,Method,Parameters,Cyclomatic Complexity
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.AbstractSortedBagDecorator, Method: first, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.AbstractSortedBagDecorator, Method: last, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionBag, Method: collectionBag, Parameters: [final Bag<E> bag], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionBag, Method: add, Parameters: [final E object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionBag, Method: add, Parameters: [final E object, final int count], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionBag, Method: addAll, Parameters: [final Collection<? extends E> coll], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionBag, Method: containsAll, Parameters: [final Collection<?> coll], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionBag, Method: readObject, Parameters: [final ObjectInputStream in], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionBag, Method: remove, Parameters: [final Object object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionBag, Method: removeAll, Parameters: [final Collection<?> coll], Cyclomatic Complexity: 2
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionBag, Method: retainAll, Parameters: [final Collection<?> coll], Cyclomatic Complexity: 4
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionBag, Method: writeObject, Parameters: [final ObjectOutputStream out], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionSortedBag, Method: collectionSortedBag, Parameters: [final SortedBag<E> bag], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionSortedBag, Method: add, Parameters: [final E object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionSortedBag, Method: add, Parameters: [final E object, final int count], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionSortedBag, Method: addAll, Parameters: [final Collection<? extends E> coll], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionSortedBag, Method: containsAll, Parameters: [final Collection<?> coll], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionSortedBag, Method: readObject, Parameters: [final ObjectInputStream in], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionSortedBag, Method: remove, Parameters: [final Object object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionSortedBag, Method: removeAll, Parameters: [final Collection<?> coll], Cyclomatic Complexity: 2
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionSortedBag, Method: retainAll, Parameters: [final Collection<?> coll], Cyclomatic Complexity: 4
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.CollectionSortedBag, Method: writeObject, Parameters: [final ObjectOutputStream out], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.HashBag, Method: readObject, Parameters: [final ObjectInputStream in], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.HashBag, Method: writeObject, Parameters: [final ObjectOutputStream out], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.PredicatedBag, Method: predicatedBag, Parameters: [final Bag<E> bag, final Predicate<? super E> predicate], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.PredicatedBag, Method: add, Parameters: [final E object, final int count], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.PredicatedBag, Method: decorated, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.PredicatedBag, Method: equals, Parameters: [final Object object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.PredicatedBag, Method: getCount, Parameters: [final Object object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.PredicatedBag, Method: hashCode, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.PredicatedBag, Method: remove, Parameters: [final Object object, final int count], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.PredicatedBag, Method: uniqueSet, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.PredicatedSortedBag, Method: predicatedSortedBag, Parameters: [final SortedBag<E> bag, final Predicate<? super E> predicate], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.PredicatedSortedBag, Method: comparator, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.PredicatedSortedBag, Method: decorated, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.PredicatedSortedBag, Method: first, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.PredicatedSortedBag, Method: last, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.SynchronizedBag, Method: synchronizedBag, Parameters: [final Bag<E> bag], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.SynchronizedBag, Method: add, Parameters: [final E object, final int count], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.SynchronizedBag, Method: equals, Parameters: [final Object object], Cyclomatic Complexity: 2
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.SynchronizedBag, Method: getBag, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.SynchronizedBag, Method: getCount, Parameters: [final Object object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.SynchronizedBag, Method: hashCode, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.SynchronizedBag, Method: remove, Parameters: [final Object object, final int count], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.SynchronizedBag, Method: uniqueSet, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.SynchronizedSortedBag, Method: synchronizedSortedBag, Parameters: [final SortedBag<E> bag], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.SynchronizedSortedBag, Method: comparator, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.SynchronizedSortedBag, Method: first, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.SynchronizedSortedBag, Method: getSortedBag, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.SynchronizedSortedBag, Method: last, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TransformedBag, Method: transformedBag, Parameters: [final Bag<E> bag, final Transformer<? super E, ? extends E> transformer], Cyclomatic Complexity: 2
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TransformedBag, Method: transformingBag, Parameters: [final Bag<E> bag, final Transformer<? super E, ? extends E> transformer], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TransformedBag, Method: add, Parameters: [final E object, final int nCopies], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TransformedBag, Method: equals, Parameters: [final Object object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TransformedBag, Method: getBag, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TransformedBag, Method: getCount, Parameters: [final Object object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TransformedBag, Method: hashCode, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TransformedBag, Method: remove, Parameters: [final Object object, final int nCopies], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TransformedBag, Method: uniqueSet, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TransformedSortedBag, Method: transformedSortedBag, Parameters: [final SortedBag<E> bag, final Transformer<? super E, ? extends E> transformer], Cyclomatic Complexity: 2
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TransformedSortedBag, Method: transformingSortedBag, Parameters: [final SortedBag<E> bag, final Transformer<? super E, ? extends E> transformer], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TransformedSortedBag, Method: comparator, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TransformedSortedBag, Method: first, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TransformedSortedBag, Method: getSortedBag, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TransformedSortedBag, Method: last, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TreeBag, Method: add, Parameters: [final E object], Cyclomatic Complexity: 2
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TreeBag, Method: comparator, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TreeBag, Method: first, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TreeBag, Method: getMap, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TreeBag, Method: last, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TreeBag, Method: readObject, Parameters: [final ObjectInputStream in], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.TreeBag, Method: writeObject, Parameters: [final ObjectOutputStream out], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableBag, Method: unmodifiableBag, Parameters: [final Bag<? extends E> bag], Cyclomatic Complexity: 2
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableBag, Method: add, Parameters: [final E object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableBag, Method: add, Parameters: [final E object, final int count], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableBag, Method: addAll, Parameters: [final Collection<? extends E> coll], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableBag, Method: clear, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableBag, Method: iterator, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableBag, Method: readObject, Parameters: [final ObjectInputStream in], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableBag, Method: remove, Parameters: [final Object object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableBag, Method: remove, Parameters: [final Object object, final int count], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableBag, Method: removeAll, Parameters: [final Collection<?> coll], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableBag, Method: removeIf, Parameters: [final Predicate<? super E> filter], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableBag, Method: retainAll, Parameters: [final Collection<?> coll], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableBag, Method: uniqueSet, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableBag, Method: writeObject, Parameters: [final ObjectOutputStream out], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableSortedBag, Method: unmodifiableSortedBag, Parameters: [final SortedBag<E> bag], Cyclomatic Complexity: 2
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableSortedBag, Method: add, Parameters: [final E object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableSortedBag, Method: add, Parameters: [final E object, final int count], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableSortedBag, Method: addAll, Parameters: [final Collection<? extends E> coll], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableSortedBag, Method: clear, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableSortedBag, Method: iterator, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableSortedBag, Method: readObject, Parameters: [final ObjectInputStream in], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableSortedBag, Method: remove, Parameters: [final Object object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableSortedBag, Method: remove, Parameters: [final Object object, final int count], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableSortedBag, Method: removeAll, Parameters: [final Collection<?> coll], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableSortedBag, Method: removeIf, Parameters: [final Predicate<? super E> filter], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableSortedBag, Method: retainAll, Parameters: [final Collection<?> coll], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableSortedBag, Method: uniqueSet, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bag, Class: org.apache.commons.collections4.bag.UnmodifiableSortedBag, Method: writeObject, Parameters: [final ObjectOutputStream out], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.Bag, Method: add, Parameters: [E object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.Bag, Method: add, Parameters: [E object, int nCopies], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.Bag, Method: containsAll, Parameters: [Collection<?> coll], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.Bag, Method: getCount, Parameters: [Object object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.Bag, Method: iterator, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.Bag, Method: remove, Parameters: [Object object], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.Bag, Method: remove, Parameters: [Object object, int nCopies], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.Bag, Method: removeAll, Parameters: [Collection<?> coll], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.Bag, Method: retainAll, Parameters: [Collection<?> coll], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.Bag, Method: size, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.Bag, Method: uniqueSet, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.BagUtils, Method: collectionBag, Parameters: [final Bag<E> bag], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.BagUtils, Method: emptyBag, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.BagUtils, Method: emptySortedBag, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.BagUtils, Method: predicatedBag, Parameters: [final Bag<E> bag, final Predicate<? super E> predicate], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.BagUtils, Method: predicatedSortedBag, Parameters: [final SortedBag<E> bag, final Predicate<? super E> predicate], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.BagUtils, Method: synchronizedBag, Parameters: [final Bag<E> bag], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.BagUtils, Method: synchronizedSortedBag, Parameters: [final SortedBag<E> bag], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.BagUtils, Method: transformingBag, Parameters: [final Bag<E> bag, final Transformer<? super E, ? extends E> transformer], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.BagUtils, Method: transformingSortedBag, Parameters: [final SortedBag<E> bag, final Transformer<? super E, ? extends E> transformer], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.BagUtils, Method: unmodifiableBag, Parameters: [final Bag<? extends E> bag], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4, Class: org.apache.commons.collections4.BagUtils, Method: unmodifiableSortedBag, Parameters: [final SortedBag<E> bag], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bidimap, Class: org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator, Method: decorated, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bidimap, Class: org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator, Method: getKey, Parameters: [final Object value], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bidimap, Class: org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator, Method: inverseBidiMap, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bidimap, Class: org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator, Method: mapIterator, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bidimap, Class: org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator, Method: removeValue, Parameters: [final Object value], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bidimap, Class: org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator, Method: values, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bidimap, Class: org.apache.commons.collections4.bidimap.AbstractDualBidiMap, Method: clear, Parameters: [], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bidimap, Class: org.apache.commons.collections4.bidimap.AbstractDualBidiMap, Method: containsKey, Parameters: [final Object key], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bidimap, Class: org.apache.commons.collections4.bidimap.AbstractDualBidiMap, Method: containsValue, Parameters: [final Object value], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bidimap, Class: org.apache.commons.collections4.bidimap.AbstractDualBidiMap, Method: createBidiMap, Parameters: [Map<V, K> normalMap, Map<K, V> reverseMap, BidiMap<K, V> inverseMap], Cyclomatic Complexity: 1
Package: org.apache.commons.collections4.bidimap, Class: org.apache.commons.collections4.bidimap.AbstractDualBidiMap, Method: createEntrySetIterator, Parameters: [final Iterator<Map.Entry<K, V>> iterator], Cyclomatic Complexity: 1
