MULTIPLYEXACT_LONG;JdkMath;org.apache.commons.math4.core.jdkmath
NEGATEEXACT_INT;JdkMath;org.apache.commons.math4.core.jdkmath
NEGATEEXACT_LONG;JdkMath;org.apache.commons.math4.core.jdkmath
NEXTAFTER_FLOAT;JdkMath;org.apache.commons.math4.core.jdkmath
NEXTAFTER_DOUBLE;JdkMath;org.apache.commons.math4.core.jdkmath
NEXTDOWN_FLOAT;JdkMath;org.apache.commons.math4.core.jdkmath
NEXTDOWN_DOUBLE;JdkMath;org.apache.commons.math4.core.jdkmath
NEXTUP_FLOAT;JdkMath;org.apache.commons.math4.core.jdkmath
NEXTUP_DOUBLE;JdkMath;org.apache.commons.math4.core.jdkmath
POW;JdkMath;org.apache.commons.math4.core.jdkmath
RANDOM;JdkMath;org.apache.commons.math4.core.jdkmath
RINT;JdkMath;org.apache.commons.math4.core.jdkmath
ROUND_DOUBLE;JdkMath;org.apache.commons.math4.core.jdkmath
ROUND_FLOAT;JdkMath;org.apache.commons.math4.core.jdkmath
SCALB_DOUBLE;JdkMath;org.apache.commons.math4.core.jdkmath
SCALB_FLOAT;JdkMath;org.apache.commons.math4.core.jdkmath
SIGNUM_FLOAT;JdkMath;org.apache.commons.math4.core.jdkmath
SIGNUM_DOUBLE;JdkMath;org.apache.commons.math4.core.jdkmath
SIN;JdkMath;org.apache.commons.math4.core.jdkmath
SINH;JdkMath;org.apache.commons.math4.core.jdkmath
SQRT;JdkMath;org.apache.commons.math4.core.jdkmath
SUBTRACTEXACT_INT;JdkMath;org.apache.commons.math4.core.jdkmath
SUBTRACTEXACT_LONG;JdkMath;org.apache.commons.math4.core.jdkmath
TAN;JdkMath;org.apache.commons.math4.core.jdkmath
TANH;JdkMath;org.apache.commons.math4.core.jdkmath
TODEGREES;JdkMath;org.apache.commons.math4.core.jdkmath
TOINTEXACT;JdkMath;org.apache.commons.math4.core.jdkmath
TORADIANS;JdkMath;org.apache.commons.math4.core.jdkmath
ULP_DOUBLE;JdkMath;org.apache.commons.math4.core.jdkmath
ULP_FLOAT;JdkMath;org.apache.commons.math4.core.jdkmath
