Package,Class,Method,Parameters,Cyclomatic Complexity
org.apache.commons.collections4.multimap,UnmodifiableMultiValuedMap,unmodifiableMultiValuedMap,[final MultiValuedMap<? extends K, ? extends V> map],2
org.apache.commons.collections4,CollectionUtils,checkIndexBounds,[final int index],2
org.apache.commons.collections4.map,AbstractLinkedMap,entryBefore,[final LinkEntry<K, V> entry],1
org.apache.commons.collections4.iterators,CollatingIterator,setComparator,[final Comparator<? super E> comp],1
org.apache.commons.collections4.map,ReferenceEntry,toReference,[final ReferenceStrength type, final T referent, final int hash],4
org.apache.commons.collections4.iterators,FilterListIterator,clearNextObject,[],1
org.apache.commons.collections4,BagUtils,unmodifiableSortedBag,[final SortedBag<E> bag],1
org.apache.commons.collections4.iterators,ObjectArrayListIterator,hasPrevious,[],1
org.apache.commons.collections4,MapUtils,lazyMap,[final Map<K, V> map, final Transformer<? super K, ? extends V> transformerFactory],1
org.apache.commons.collections4.bidimap,Node,copyColor,[final Node<K, V> node, final DataElement dataElement],1
org.apache.commons.collections4.map,MultiValueMap,getCollection,[final Object key],1
org.apache.commons.collections4,IteratorUtils,transformedIterator,[final Iterator<? extends I> iterator, final Transformer<? super I, ? extends O> transformer],1
org.apache.commons.collections4,MultiValuedMap,containsMapping,[Object key, Object value],1
org.apache.commons.collections4.trie,AbstractPatriciaTrie,floorEntry,[final K key],10
org.apache.commons.collections4,MapUtils,isEmpty,[final Map<?, ?> map],2
org.apache.commons.collections4,MapUtils,populateMap,[final MultiMap<K, V> map, final Iterable<? extends V> elements, final Transformer<V, K> keyTransformer],1
org.apache.commons.collections4,BagUtils,emptyBag,[],1
org.apache.commons.collections4.iterators,UnmodifiableMapIterator,unmodifiableMapIterator,[final MapIterator<? extends K, ? extends V> iterator],2
org.apache.commons.collections4,CollectionUtils,matchesAll,[final Iterable<C> input, final Predicate<? super C> predicate],2
org.apache.commons.collections4.collection,CompositeCollection,addComposited,[final Collection<E>... compositeCollections],3
org.apache.commons.collections4.bidimap,TreeBidiMap,modify,[],1
org.apache.commons.collections4.properties,EmptyProperties,computeIfPresent,[final Object key, final BiFunction<? super Object, ? super Object, ? extends Object> remappingFunction],1
org.apache.commons.collections4.map,MultiValueMap,totalSize,[],2
org.apache.commons.collections4.bloomfilter,CellProducer,populate,[],3
org.apache.commons.collections4.functors,IfClosure,ifClosure,[final Predicate<? super E> predicate, final Closure<? super E> trueClosure, final Closure<? super E> falseClosure],1
org.apache.commons.collections4.map,Flat3Map,clone,[],3
org.apache.commons.collections4,IteratorUtils,arrayListIterator,[final Object array, final int start, final int end],1
org.apache.commons.collections4,SetUtils,emptySortedSet,[],1
org.apache.commons.collections4.bidimap,TreeBidiMap,nextGreater,[final Node<K, V> node, final DataElement dataElement],5
org.apache.commons.collections4,MapUtils,fixedSizeSortedMap,[final SortedMap<K, V> map],1
org.apache.commons.collections4.trie,KeyAnalyzer,isOutOfBoundsIndex,[final int bitIndex],1
org.apache.commons.collections4.map,AbstractReferenceMap,hashEntry,[final Object key, final Object value],5
org.apache.commons.collections4.map,AbstractReferenceMap,createKeySetIterator,[],1
org.apache.commons.collections4.splitmap,TransformedSplitMap,transformingMap,[final Map<K, V> map, final Transformer<? super J, ? extends K> keyTransformer, final Transformer<? super U, ? extends V> valueTransformer],1
org.apache.commons.collections4.map,LinkIterator,previousEntry,[],3
org.apache.commons.collections4.bloomfilter,Bits,toArray,[],3
org.apache.commons.collections4.collection,CompositeCollection,setMutator,[final CollectionMutator<E> mutator],1
org.apache.commons.collections4,FluentIterable,anyMatch,[final Predicate<? super E> predicate],1
org.apache.commons.collections4,MapUtils,multiValueMap,[final Map<K, C> map, final Factory<C> collectionFactory],1
org.apache.commons.collections4,MultiMapUtils,getValuesAsSet,[final MultiValuedMap<K, V> map, final K key],3
org.apache.commons.collections4.trie,AbstractPatriciaTrie,removeInternalEntry,[final TrieEntry<K, V> h],15
org.apache.commons.collections4.bloomfilter,CountingBloomFilter,getMaxInsert,[final BitMapProducer bitMapProducer],6
org.apache.commons.collections4.functors,DefaultEquator,defaultEquator,[],1
org.apache.commons.collections4.functors,ForClosure,forClosure,[final int count, final Closure<? super E> closure],4
org.apache.commons.collections4.bloomfilter,Shape,isSparse,[final int cardinality],1
org.apache.commons.collections4.trie,AbstractPatriciaTrie,getPrefixMapByBits,[final K key, final int offsetInBits, final int lengthInBits],3
org.apache.commons.collections4.sequence,SequencesComparator,getMiddleSnake,[final int start1, final int end1, final int start2, final int end2],28
org.apache.commons.collections4.functors,DefaultEquator,hash,[final T o],3
org.apache.commons.collections4.trie,AbstractPatriciaTrie,ceilingEntry,[final K key],10
org.apache.commons.collections4.iterators,TransformIterator,getTransformer,[],1
org.apache.commons.collections4.properties,EmptyProperties,save,[final OutputStream out, final String comments],1
org.apache.commons.collections4.map,AbstractHashedMap,updateEntry,[final HashEntry<K, V> entry, final V newValue],1
org.apache.commons.collections4,MapUtils,toProperties,[final Map<K, V> map],3
org.apache.commons.collections4,MapUtils,getNumber,[final Map<? super K, ?> map, final K key, final Number defaultValue],1
org.apache.commons.collections4.iterators,BoundedIterator,checkBounds,[],2
org.apache.commons.collections4.bag,SynchronizedBag,getBag,[],1
org.apache.commons.collections4,MapUtils,getShortValue,[final Map<? super K, ?> map, final K key, final short defaultValue],1
org.apache.commons.collections4.map,AbstractHashedMap,hashIndex,[final int hashCode, final int dataSize],1
org.apache.commons.collections4.bidimap,AbstractViewIterator,navigateNext,[],3
org.apache.commons.collections4.list,Node,setNextNode,[final Node<E> next],1
org.apache.commons.collections4,SetUtils,synchronizedSet,[final Set<E> set],1
org.apache.commons.collections4,MapUtils,debugPrint,[final PrintStream out, final Object label, final Map<?, ?> map],1
org.apache.commons.collections4,MultiMapUtils,transformedMultiValuedMap,[final MultiValuedMap<K, V> map, final Transformer<? super K, ? extends K> keyTransformer, final Transformer<? super V, ? extends V> valueTransformer],1
org.apache.commons.collections4,IteratorUtils,zippingIterator,[final Iterator<? extends E>... iterators],1
org.apache.commons.collections4.iterators,PeekingIterator,peek,[],3
org.apache.commons.collections4,SortedBag,comparator,[],1
org.apache.commons.collections4.trie,AbstractPatriciaTrie,subtree,[final K prefix, final int offsetInBits, final int lengthInBits],14
org.apache.commons.collections4.trie,TrieEntry,isInternalNode,[],2
org.apache.commons.collections4.set,CompositeSet,toSet,[],1
org.apache.commons.collections4,MapUtils,unmodifiableSortedMap,[final SortedMap<K, ? extends V> map],1
org.apache.commons.collections4,ComparatorUtils,reversedComparator,[final Comparator<E> comparator],1
org.apache.commons.collections4,MapUtils,getFloatValue,[final Map<? super K, ?> map, final K key, final Function<K, Float> defaultFunction],1
org.apache.commons.collections4,ComparatorUtils,naturalComparator,[],1
org.apache.commons.collections4.list,AVLNode,setRight,[final AVLNode<E> node, final AVLNode<E> next],3
org.apache.commons.collections4.map,AbstractReferenceMap,createValuesIterator,[],1
org.apache.commons.collections4,PredicateUtils,neitherPredicate,[final Predicate<? super T> predicate1, final Predicate<? super T> predicate2],1
org.apache.commons.collections4,MultiMapUtils,getValuesAsBag,[final MultiValuedMap<K, V> map, final K key],3
org.apache.commons.collections4,IteratorUtils,toList,[final Iterator<? extends E> iterator, final int estimatedSize],3
org.apache.commons.collections4.bloomfilter,CounterCell,compareTo,[final CounterCell other],1
org.apache.commons.collections4.splitmap,AbstractIterableGetMapDecorator,decorated,[],1
org.apache.commons.collections4.map,ReferenceIdentityMap,isEqualValue,[final Object value1, final Object value2],1
org.apache.commons.collections4,FluentIterable,unmodifiable,[],1
org.apache.commons.collections4.list,AbstractLinkedList,removeFirst,[],2
org.apache.commons.collections4.trie.analyzer,StringKeyAnalyzer,isPrefix,[final String prefix, final int offsetInBits, final int lengthInBits, final String key],3
org.apache.commons.collections4,BagUtils,synchronizedBag,[final Bag<E> bag],1
org.apache.commons.collections4.bidimap,TreeBidiMap,greatestNode,[final Node<K, V> node, final DataElement dataElement],3
org.apache.commons.collections4,BagUtils,predicatedSortedBag,[final SortedBag<E> bag, final Predicate<? super E> predicate],1
org.apache.commons.collections4.iterators,AbstractListIteratorDecorator,getListIterator,[],1
org.apache.commons.collections4.map,FixedSizeSortedMap,getSortedMap,[],1
org.apache.commons.collections4.queue,UnmodifiableQueue,removeIf,[final Predicate<? super E> filter],1
org.apache.commons.collections4.list,Node,getNextNode,[],1
org.apache.commons.collections4,CollectionUtils,isProperSubCollection,[final Collection<?> a, final Collection<?> b],2
org.apache.commons.collections4,CollectionUtils,collect,[final Iterator<? extends I> inputIterator, final Transformer<? super I, ? extends O> transformer, final R outputCollection],4
org.apache.commons.collections4.trie,KeyAnalyzer,isNullBitKey,[final int bitIndex],1
org.apache.commons.collections4.collection,Builder,createPredicatedList,[final List<E> list],1
org.apache.commons.collections4,MultiSetUtils,predicatedMultiSet,[final MultiSet<E> multiset, final Predicate<? super E> predicate],1
org.apache.commons.collections4.list,CursorableLinkedList,addNode,[final Node<E> nodeToInsert, final Node<E> insertBeforeNode],1
org.apache.commons.collections4.list,AVLNode,setLeft,[final AVLNode<E> node, final AVLNode<E> previous],3
org.apache.commons.collections4.bloomfilter,SetOperations,cosineDistance,[final BitMapProducer first, final BitMapProducer second],1
org.apache.commons.collections4.iterators,EmptyIterator,resettableEmptyIterator,[],1
org.apache.commons.collections4.bloomfilter,ArrayCountingBloomFilter,forEachCell,[final CellProducer.CellConsumer consumer],5
org.apache.commons.collections4.trie,PrefixRangeMap,inRange,[final K key],1
org.apache.commons.collections4,IterableUtils,collatedIterable,[final Comparator<? super E> comparator, final Iterable<? extends E> a, final Iterable<? extends E> b],1
org.apache.commons.collections4,LcsVisitor,visitKeepCommand,[final E object],1
org.apache.commons.collections4.queue,CircularFifoQueue,isAtFullCapacity,[],1
org.apache.commons.collections4.comparators,FixedOrderComparator,setUnknownObjectBehavior,[final UnknownObjectBehavior unknownObjectBehavior],1
org.apache.commons.collections4,IteratorUtils,forEachButLast,[final Iterator<E> iterator, final Closure<? super E> closure],5
org.apache.commons.collections4.collection,CompositeCollection,toCollection,[],1
org.apache.commons.collections4.bidimap,TreeBidiMap,checkValue,[final Object value],1
org.apache.commons.collections4.set,TransformedNavigableSet,floor,[final E e],1
org.apache.commons.collections4,MultiValuedMap,keySet,[],1
org.apache.commons.collections4.list,NodeCachingLinkedList,removeNode,[final Node<E> node],1
org.apache.commons.collections4,IteratorUtils,forEach,[final Iterator<E> iterator, final Closure<? super E> closure],3
org.apache.commons.collections4,SetUtils,hashSet,[final E... items],2
org.apache.commons.collections4.functors,ConstantTransformer,constantTransformer,[final O constantToReturn],2
org.apache.commons.collections4.trie,PrefixRangeMap,createRangeMap,[final K fromKey, final boolean fromInclusive, final K toKey, final boolean toInclusive],1
org.apache.commons.collections4.iterators,UnmodifiableOrderedMapIterator,setValue,[final V value],1
org.apache.commons.collections4.functors,NotPredicate,notPredicate,[final Predicate<? super T> predicate],1
org.apache.commons.collections4.map,PassiveExpiringMap,isExpired,[final long now, final Long expirationTimeObject],3
org.apache.commons.collections4.functors,AndPredicate,andPredicate,[final Predicate<? super T> predicate1, final Predicate<? super T> predicate2],1
org.apache.commons.collections4.iterators,IteratorEnumeration,nextElement,[],1
org.apache.commons.collections4.bidimap,UnmodifiableBidiMap,unmodifiableBidiMap,[final BidiMap<? extends K, ? extends V> map],2
org.apache.commons.collections4,SplitMapUtils,readableMap,[final Get<K, V> get],4
org.apache.commons.collections4,IterableUtils,reversedIterable,[final Iterable<E> iterable],3
org.apache.commons.collections4.set,ListOrderedSet,listOrderedSet,[final List<E> list],1
org.apache.commons.collections4,MapUtils,getByte,[final Map<? super K, ?> map, final K key, final Function<K, Byte> defaultFunction],1
org.apache.commons.collections4.splitmap,TransformedSplitMap,transformKey,[final J object],1
org.apache.commons.collections4.map,StaticBucketMap,getHash,[final Object key],4
org.apache.commons.collections4.map,AbstractHashedMap,_putAll,[final Map<? extends K, ? extends V> map],3
org.apache.commons.collections4.bloomfilter,Shape,fromKM,[final int numberOfHashFunctions, final int numberOfBits],1
org.apache.commons.collections4.map,AbstractReferenceMap,createEntrySetIterator,[],1
org.apache.commons.collections4.bidimap,TreeBidiMap,nextSmaller,[final Node<K, V> node, final DataElement dataElement],5
org.apache.commons.collections4.list,NodeCachingLinkedList,isCacheFull,[],1
org.apache.commons.collections4,CollectionUtils,countMatches,[final Iterable<C> input, final Predicate<? super C> predicate],3
org.apache.commons.collections4.bloomfilter,Shape,fromNMK,[final int numberOfItems, final int numberOfBits, final int numberOfHashFunctions],1
org.apache.commons.collections4.bloomfilter,Shape,getProbability,[final int numberOfItems],3
org.apache.commons.collections4.bloomfilter,CountingBloomFilter,merge,[final BitMapProducer bitMapProducer],1
org.apache.commons.collections4.iterators,IteratorChain,isLocked,[],1
org.apache.commons.collections4,MultiMapUtils,newListValuedHashMap,[],1
org.apache.commons.collections4,MapUtils,getBooleanValue,[final Map<? super K, ?> map, final K key, final Function<K, Boolean> defaultFunction],1
org.apache.commons.collections4.iterators,PeekingIterator,element,[],2
org.apache.commons.collections4.bloomfilter,IndexProducer,fromIndexArray,[final int... values],4
org.apache.commons.collections4.map,EntryIterator,nextEntry,[],3
org.apache.commons.collections4.map,Flat3Map,createDelegateMap,[],1
org.apache.commons.collections4,IteratorUtils,asIterator,[final Enumeration<? extends E> enumeration, final Collection<? super E> removeCollection],1
org.apache.commons.collections4.bloomfilter,BitMap,getLongBit,[final int bitIndex],1
org.apache.commons.collections4,IterableUtils,loopingIterable,[final Iterable<E> iterable],2
org.apache.commons.collections4.splitmap,TransformedSplitMap,readObject,[final ObjectInputStream in],1
org.apache.commons.collections4.list,AVLNode,removeMax,[],3
org.apache.commons.collections4.functors,ClosureTransformer,closureTransformer,[final Closure<? super T> closure],1
org.apache.commons.collections4.map,ExpirationPolicy,expirationTime,[K key, V value],1
org.apache.commons.collections4.map,StaticBucketMap,atomic,[final Runnable r, final int bucket],2
org.apache.commons.collections4,MapUtils,getByteValue,[final Map<? super K, ?> map, final K key, final Function<K, Byte> defaultFunction],1
org.apache.commons.collections4,SetUtils,difference,[final Set<? extends E> setA, final Set<? extends E> setB],4
org.apache.commons.collections4.trie,AbstractPatriciaTrie,incrementSize,[],1
org.apache.commons.collections4,SetUtils,hashCodeForSet,[final Collection<T> set],4
org.apache.commons.collections4.trie,AbstractPatriciaTrie,lowerEntry,[final K key],6
org.apache.commons.collections4.set,TransformedNavigableSet,descendingIterator,[],1
org.apache.commons.collections4.map,AbstractHashedMap,entryValue,[final HashEntry<K, V> entry],1
org.apache.commons.collections4.iterators,CollatingIterator,anyHasNext,[final List<Iterator<? extends E>> iterators],3
org.apache.commons.collections4,ArrayStack,pop,[],2
org.apache.commons.collections4.bag,TransformedSortedBag,getSortedBag,[],1
org.apache.commons.collections4.queue,TransformedQueue,getQueue,[],1
org.apache.commons.collections4.list,Node,getPreviousNode,[],1
org.apache.commons.collections4.collection,PredicatedCollection,builder,[final Predicate<? super E> predicate],1
org.apache.commons.collections4.iterators,CollatingIterator,getIteratorIndex,[],2
org.apache.commons.collections4.functors,FunctorUtils,validate,[final Transformer<?, ?>... transformers],3
org.apache.commons.collections4.functors,DefaultEquator,equate,[final T o1, final T o2],1
org.apache.commons.collections4.bloomfilter,Shape,fromNM,[final int numberOfItems, final int numberOfBits],1
org.apache.commons.collections4,MapUtils,invertMap,[final Map<K, V> map],2
org.apache.commons.collections4.bidimap,Node,getParent,[final DataElement dataElement],1
org.apache.commons.collections4.trie,AbstractPatriciaTrie,isValidUplink,[final TrieEntry<?, ?> next, final TrieEntry<?, ?> from],4
org.apache.commons.collections4.map,LinkedMapList,subList,[final int fromIndexInclusive, final int toIndexExclusive],1
org.apache.commons.collections4.bidimap,TreeBidiMap,makeRed,[final Node<?, ?> node, final DataElement dataElement],2
org.apache.commons.collections4.bloomfilter,Shape,fromNP,[final int numberOfItems, final double probability],2
org.apache.commons.collections4,ListUtils,transformedList,[final List<E> list, final Transformer<? super E, ? extends E> transformer],1
org.apache.commons.collections4.bag,TransformedBag,transformedBag,[final Bag<E> bag, final Transformer<? super E, ? extends E> transformer],4
org.apache.commons.collections4,IteratorUtils,chainedIterator,[final Collection<Iterator<? extends E>> iterators],1
org.apache.commons.collections4,Trie,prefixMap,[K key],1
org.apache.commons.collections4,CollectionUtils,addAll,[final Collection<C> collection, final C... elements],2
org.apache.commons.collections4.map,TransformedSortedMap,transformingSortedMap,[final SortedMap<K, V> map, final Transformer<? super K, ? extends K> keyTransformer, final Transformer<? super V, ? extends V> valueTransformer],1
org.apache.commons.collections4.bidimap,Node,setBlack,[final DataElement dataElement],1
org.apache.commons.collections4.list,AbstractLinkedList,addFirst,[final E o],1
org.apache.commons.collections4.list,TransformedList,transformingList,[final List<E> list, final Transformer<? super E, ? extends E> transformer],1
org.apache.commons.collections4.map,AbstractReferenceMap,doWriteObject,[final ObjectOutputStream out],2
org.apache.commons.collections4.collection,Builder,createPredicatedBag,[final Bag<E> bag],1
org.apache.commons.collections4.trie,AbstractPatriciaTrie,followRight,[TrieEntry<K, V> node],3
org.apache.commons.collections4,MultiValuedMap,removeMapping,[Object key, Object item],1
org.apache.commons.collections4.functors,WhileClosure,isDoLoop,[],1
org.apache.commons.collections4.map,AbstractReferenceMap,isEqualKey,[final Object key1, Object key2],4
org.apache.commons.collections4.comparators,ComparatorChain,addComparator,[final Comparator<E> comparator, final boolean reverse],2
org.apache.commons.collections4.bidimap,TreeBidiMap,swapPosition,[final Node<K, V> x, final Node<K, V> y, final DataElement dataElement],17
org.apache.commons.collections4.trie,AbstractPatriciaTrie,incrementModCount,[],1
org.apache.commons.collections4.list,TransformedList,getList,[],1
org.apache.commons.collections4.bloomfilter,Shape,fromPMK,[final double probability, final int numberOfBits, final int numberOfHashFunctions],1
org.apache.commons.collections4,CollectionUtils,isEqualCollection,[final Collection<? extends E> a, final Collection<? extends E> b, final Equator<? super E> equator],2
org.apache.commons.collections4.bloomfilter,CountingLongPredicate,forEachRemaining,[],3
org.apache.commons.collections4.bidimap,Node,swapColors,[final Node<K, V> node, final DataElement dataElement],1
org.apache.commons.collections4.set,UnmodifiableNavigableSet,unmodifiableNavigableSet,[final NavigableSet<E> set],2
org.apache.commons.collections4.iterators,PeekingIterator,peekingIterator,[final Iterator<? extends E> iterator],2
org.apache.commons.collections4.iterators,UnmodifiableOrderedMapIterator,getKey,[],1
org.apache.commons.collections4,IteratorUtils,filteredIterator,[final Iterator<? extends E> iterator, final Predicate<? super E> predicate],1
org.apache.commons.collections4,SortedBag,last,[],1
org.apache.commons.collections4.splitmap,TransformedSplitMap,transformValue,[final U object],1
org.apache.commons.collections4.collection,IndexedCollection,reindex,[],2
org.apache.commons.collections4.comparators,BooleanComparator,booleanComparator,[final boolean trueFirst],3
org.apache.commons.collections4.functors,IdentityPredicate,identityPredicate,[final T object],2
org.apache.commons.collections4.iterators,ObjectGraphIterator,findNextByIterator,[final Iterator<? extends E> iterator],11
org.apache.commons.collections4.map,AbstractReferenceMap,purgeBeforeWrite,[],1
org.apache.commons.collections4.bloomfilter,SparseBloomFilter,forEachIndex,[final IntPredicate consumer],4
org.apache.commons.collections4.bloomfilter,BitMapProducer,fromIndexProducer,[final IndexProducer producer, final int numberOfBits],1
org.apache.commons.collections4.set,TransformedSortedSet,getSortedSet,[],1
org.apache.commons.collections4,MapUtils,unmodifiableMap,[final Map<? extends K, ? extends V> map],1
org.apache.commons.collections4.list,AVLNode,getLeftSubTree,[],3
org.apache.commons.collections4.bloomfilter,Shape,getNumberOfBits,[],1
org.apache.commons.collections4.set,TransformedNavigableSet,transformingNavigableSet,[final NavigableSet<E> set, final Transformer<? super E, ? extends E> transformer],1
org.apache.commons.collections4,PredicateUtils,invokerPredicate,[final String methodName, final Class<?>[] paramTypes, final Object[] args],1
org.apache.commons.collections4.list,CursorableLinkedList,unregisterCursor,[final Cursor<E> cursor],4
org.apache.commons.collections4.map,LRUMap,moveToMRU,[final LinkEntry<K, V> entry],4
org.apache.commons.collections4,OrderedMap,firstKey,[],1
org.apache.commons.collections4.trie,TrieEntry,isExternalNode,[],2
org.apache.commons.collections4.functors,SwitchTransformer,getTransformers,[],1
org.apache.commons.collections4.bidimap,TreeBidiMap,leastNode,[final Node<K, V> node, final DataElement dataElement],3
org.apache.commons.collections4.iterators,AbstractOrderedMapIteratorDecorator,getOrderedMapIterator,[],1
org.apache.commons.collections4.iterators,SkippingIterator,next,[],1
org.apache.commons.collections4.bidimap,TreeBidiMap,doHashCode,[final DataElement dataElement],3
org.apache.commons.collections4.comparators,BooleanComparator,getTrueFirstComparator,[],1
org.apache.commons.collections4.set,TransformedNavigableSet,descendingSet,[],1
org.apache.commons.collections4.sequence,EditScript,getModifications,[],1
org.apache.commons.collections4,CollectionUtils,synchronizedCollection,[final Collection<C> collection],1
org.apache.commons.collections4.iterators,ObjectArrayListIterator,nextIndex,[],1
org.apache.commons.collections4,ListUtils,predicatedList,[final List<E> list, final Predicate<E> predicate],1
org.apache.commons.collections4.bidimap,Node,setRed,[final DataElement dataElement],1
