Elements
org.apache.commons.collections4.ArrayStack
Method: synchronizedSortedBag; Parameter types : SortedBag<E>; Cyclomatic Complexity: 1
Method: getSortedBag; Parameter types : ; Cyclomatic Complexity: 1
Method: first; Parameter types : ; Cyclomatic Complexity: 1
Method: last; Parameter types : ; Cyclomatic Complexity: 1
Method: comparator; Parameter types : ; Cyclomatic Complexity: 1
org.apache.commons.collections4.bag.TransformedBag
Method: transformingBag; Parameter types : Bag<E>, Transformer<? super E, ? extends E>; Cyclomatic Complexity: 1
Method: transformedBag; Parameter types : Bag<E>, Transformer<? super E, ? extends E>; Cyclomatic Complexity: 2
Method: getBag; Parameter types : ; Cyclomatic Complexity: 1
Method: equals; Parameter types : Object; Cyclomatic Complexity: 1
Method: hashCode; Parameter types : ; Cyclomatic Complexity: 1
Method: getCount; Parameter types : Object; Cyclomatic Complexity: 1
Method: remove; Parameter types : Object, int; Cyclomatic Complexity: 1
Method: add; Parameter types : E, int; Cyclomatic Complexity: 1
Method: uniqueSet; Parameter types : ; Cyclomatic Complexity: 1
org.apache.commons.collections4.bag.TransformedSortedBag
Method: transformingSortedBag; Parameter types : SortedBag<E>, Transformer<? super E, ? extends E>; Cyclomatic Complexity: 1
Method: transformedSortedBag; Parameter types : SortedBag<E>, Transformer<? super E, ? extends E>; Cyclomatic Complexity: 2
Method: getSortedBag; Parameter types : ; Cyclomatic Complexity: 1
Method: first; Parameter types : ; Cyclomatic Complexity: 1
Method: last; Parameter types : ; Cyclomatic Complexity: 1
Method: comparator; Parameter types : ; Cyclomatic Complexity: 1
org.apache.commons.collections4.bag.TreeBag
Method: add; Parameter types : E; Cyclomatic Complexity: 3
Method: first; Parameter types : ; Cyclomatic Complexity: 1
Method: last; Parameter types : ; Cyclomatic Complexity: 1
Method: comparator; Parameter types : ; Cyclomatic Complexity: 1
Method: getMap; Parameter types : ; Cyclomatic Complexity: 1
Method: writeObject; Parameter types : ObjectOutputStream; Cyclomatic Complexity: 1
Method: readObject; Parameter types : ObjectInputStream; Cyclomatic Complexity: 1
org.apache.commons.collections4.bag.UnmodifiableBag
Method: unmodifiableBag; Parameter types : Bag<? extends E>; Cyclomatic Complexity: 2
Method: writeObject; Parameter types : ObjectOutputStream; Cyclomatic Complexity: 1
Method: readObject; Parameter types : ObjectInputStream; Cyclomatic Complexity: 1
Method: iterator; Parameter types : ; Cyclomatic Complexity: 1
Method: add; Parameter types : E; Cyclomatic Complexity: 1
Method: addAll; Parameter types : Collection<? extends E>; Cyclomatic Complexity: 1
Method: clear; Parameter types : ; Cyclomatic Complexity: 1
Method: remove; Parameter types : Object; Cyclomatic Complexity: 1
Method: removeIf; Parameter types : Predicate<? super E>; Cyclomatic Complexity: 1
Method: removeAll; Parameter types : Collection<?>; Cyclomatic Complexity: 1
Method: retainAll; Parameter types : Collection<?>; Cyclomatic Complexity: 1
Method: add; Parameter types : E, int; Cyclomatic Complexity: 1
Method: remove; Parameter types : Object, int; Cyclomatic Complexity: 1
Method: uniqueSet; Parameter types : ; Cyclomatic Complexity: 1
org.apache.commons.collections4.bag.UnmodifiableSortedBag
Method: unmodifiableSortedBag; Parameter types : SortedBag<E>; Cyclomatic Complexity: 2
Method: writeObject; Parameter types : ObjectOutputStream; Cyclomatic Complexity: 1
Method: readObject; Parameter types : ObjectInputStream; Cyclomatic Complexity: 1
Method: iterator; Parameter types : ; Cyclomatic Complexity: 1
Method: add; Parameter types : E; Cyclomatic Complexity: 1
Method: addAll; Parameter types : Collection<? extends E>; Cyclomatic Complexity: 1
Method: clear; Parameter types : ; Cyclomatic Complexity: 1
Method: remove; Parameter types : Object; Cyclomatic Complexity: 1
Method: removeIf; Parameter types : Predicate<? super E>; Cyclomatic Complexity: 1
Method: removeAll; Parameter types : Collection<?>; Cyclomatic Complexity: 1
Method: retainAll; Parameter types : Collection<?>; Cyclomatic Complexity: 1
Method: add; Parameter types : E, int; Cyclomatic Complexity: 1
Method: remove; Parameter types : Object, int; Cyclomatic Complexity: 1
Method: uniqueSet; Parameter types : ; Cyclomatic Complexity: 1
org.apache.commons.collections4.Bag
Method: getCount; Parameter types : Object; Cyclomatic Complexity: 1
Method: add; Parameter types : E; Cyclomatic Complexity: 1
Method: add; Parameter types : E, int; Cyclomatic Complexity: 1
Method: remove; Parameter types : Object; Cyclomatic Complexity: 1
Method: remove; Parameter types : Object, int; Cyclomatic Complexity: 1
Method: uniqueSet; Parameter types : ; Cyclomatic Complexity: 1
Method: size; Parameter types : ; Cyclomatic Complexity: 1
Method: containsAll; Parameter types : Collection<?>; Cyclomatic Complexity: 1
Method: removeAll; Parameter types : Collection<?>; Cyclomatic Complexity: 1
Method: retainAll; Parameter types : Collection<?>; Cyclomatic Complexity: 1
Method: iterator; Parameter types : ; Cyclomatic Complexity: 1
org.apache.commons.collections4.BagUtils
Method: synchronizedBag; Parameter types : Bag<E>; Cyclomatic Complexity: 1
Method: unmodifiableBag; Parameter types : Bag<? extends E>; Cyclomatic Complexity: 1
Method: predicatedBag; Parameter types : Bag<E>, Predicate<? super E>; Cyclomatic Complexity: 1
Method: transformingBag; Parameter types : Bag<E>, Transformer<? super E, ? extends E>; Cyclomatic Complexity: 1
Method: collectionBag; Parameter types : Bag<E>; Cyclomatic Complexity: 1
Method: synchronizedSortedBag; Parameter types : SortedBag<E>; Cyclomatic Complexity: 1
Method: unmodifiableSortedBag; Parameter types : SortedBag<E>; Cyclomatic Complexity: 1
Method: predicatedSortedBag; Parameter types : SortedBag<E>, Predicate<? super E>; Cyclomatic Complexity: 1
Method: transformingSortedBag; Parameter types : SortedBag<E>, Transformer<? super E, ? extends E>; Cyclomatic Complexity: 1
Method: emptyBag; Parameter types : ; Cyclomatic Complexity: 1
Method: emptySortedBag; Parameter types : ; Cyclomatic Complexity: 1
org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator
Method: decorated; Parameter types : ; Cyclomatic Complexity: 1
Method: mapIterator; Parameter types : ; Cyclomatic Complexity: 1
Method: getKey; Parameter types : Object; Cyclomatic Complexity: 1
Method: removeValue; Parameter types : Object; Cyclomatic Complexity: 1
Method: inverseBidiMap; Parameter types : ; Cyclomatic Complexity: 1
Method: values; Parameter types : ; Cyclomatic Complexity: 1
org.apache.commons.collections4.bidimap.AbstractDualBidiMap
Method: createBidiMap; Parameter types : Map<V, K>, Map<K, V>, BidiMap<K, V>; Cyclomatic Complexity: 1
Method: get; Parameter types : Object; Cyclomatic Complexity: 1
Method: size; Parameter types : ; Cyclomatic Complexity: 1
Method: isEmpty; Parameter types : ; Cyclomatic Complexity: 1
Method: containsKey; Parameter types : Object; Cyclomatic Complexity: 1
Method: equals; Parameter types : Object; Cyclomatic Complexity: 1
Method: hashCode; Parameter types : ; Cyclomatic Complexity: 1
Method: toString; Parameter types : ; Cyclomatic Complexity: 1
Method: put; Parameter types : K, V; Cyclomatic Complexity: 3
Method: putAll; Parameter types : Map<? extends K, ? extends V>; Cyclomatic Complexity: 1
Method: remove; Parameter types : Object; Cyclomatic Complexity: 2
Method: clear; Parameter types : ; Cyclomatic Complexity: 1
Method: containsValue; Parameter types : Object; Cyclomatic Complexity: 1
Method: mapIterator; Parameter types : ; Cyclomatic Complexity: 1
Method: getKey; Parameter types : Object; Cyclomatic Complexity: 1
Method: removeValue; Parameter types : Object; Cyclomatic Complexity: 2
Method: inverseBidiMap; Parameter types : ; Cyclomatic Complexity: 2
Method: keySet; Parameter types : ; Cyclomatic Complexity: 2
Method: createKeySetIterator; Parameter types : Iterator<K>; Cyclomatic Complexity: 1
Method: values; Parameter types : ; Cyclomatic Complexity: 2
Method: createValuesIterator; Parameter types : Iterator<V>; Cyclomatic Complexity: 1
Method: entrySet; Parameter types : ; Cyclomatic Complexity: 2
Method: createEntrySetIterator; Parameter types : Iterator<Map.Entry<K, V>>; Cyclomatic Complexity: 1
org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecorator
Method: decorated; Parameter types : ; Cyclomatic Complexity: 1
Method: mapIterator; Parameter types : ; Cyclomatic Complexity: 1
Method: firstKey; Parameter types : ; Cyclomatic Complexity: 1
Method: lastKey; Parameter types : ; Cyclomatic Complexity: 1
Method: nextKey; Parameter types : K; Cyclomatic Complexity: 1
Method: previousKey; Parameter types : K; Cyclomatic Complexity: 1
Method: inverseBidiMap; Parameter types : ; Cyclomatic Complexity: 1
org.apache.commons.collections4.bidimap.AbstractSortedBidiMapDecorator
Method: decorated; Parameter types : ; Cyclomatic Complexity: 1
Method: inverseBidiMap; Parameter types : ; Cyclomatic Complexity: 1
Method: comparator; Parameter types : ; Cyclomatic Complexity: 1
Method: valueComparator; Parameter types : ; Cyclomatic Complexity: 1
Method: subMap; Parameter types : K, K; Cyclomatic Complexity: 1
Method: headMap; Parameter types : K; Cyclomatic Complexity: 1
Method: tailMap; Parameter types : K; Cyclomatic Complexity: 1
org.apache.commons.collections4.bidimap.DualHashBidiMap
Method: createBidiMap; Parameter types : Map<V, K>, Map<K, V>, BidiMap<K, V>; Cyclomatic Complexity: 1
Method: writeObject; Parameter types : ObjectOutputStream; Cyclomatic Complexity: 1
Method: readObject; Parameter types : ObjectInputStream; Cyclomatic Complexity: 1
org.apache.commons.collections4.bidimap.DualLinkedHashBidiMap
Method: createBidiMap; Parameter types : Map<V, K>, Map<K, V>, BidiMap<K, V>; Cyclomatic Complexity: 1
Method: writeObject; Parameter types : ObjectOutputStream; Cyclomatic Complexity: 1
Method: readObject; Parameter types : ObjectInputStream; Cyclomatic Complexity: 1
org.apache.commons.collections4.bidimap.DualTreeBidiMap
Method: createBidiMap; Parameter types : Map<V, K>, Map<K, V>, BidiMap<K, V>; Cyclomatic Complexity: 1
Method: comparator; Parameter types : ; Cyclomatic Complexity: 1
Method: valueComparator; Parameter types : ; Cyclomatic Complexity: 1
Method: firstKey; Parameter types : ; Cyclomatic Complexity: 1
Method: lastKey; Parameter types : ; Cyclomatic Complexity: 1
Method: nextKey; Parameter types : K; Cyclomatic Complexity: 4
Method: previousKey; Parameter types : K; Cyclomatic Complexity: 4
Method: mapIterator; Parameter types : ; Cyclomatic Complexity: 1
Method: inverseSortedBidiMap; Parameter types : ; Cyclomatic Complexity: 1
Method: inverseOrderedBidiMap; Parameter types : ; Cyclomatic Complexity: 1
Method: headMap; Parameter types : K; Cyclomatic Complexity: 1
Method: tailMap; Parameter types : K; Cyclomatic Complexity: 1
Method: subMap; Parameter types : K, K; Cyclomatic Complexity: 1
Method: inverseBidiMap; Parameter types : ; Cyclomatic Complexity: 1
Method: writeObject; Parameter types : ObjectOutputStream; Cyclomatic Complexity: 1
Method: readObject; Parameter types : ObjectInputStream; Cyclomatic Complexity: 1
org.apache.commons.collections4.bidimap.TreeBidiMap
Method: size; Parameter types : ; Cyclomatic Complexity: 1
Method: isEmpty; Parameter types : ; Cyclomatic Complexity: 1
Method: containsKey; Parameter types : Object; Cyclomatic Complexity: 1
Method: containsValue; Parameter types : Object; Cyclomatic Complexity: 1
Method: get; Parameter types : Object; Cyclomatic Complexity: 1
Method: put; Parameter types : K, V; Cyclomatic Complexity: 1
Method: putAll; Parameter types : Map<? extends K, ? extends V>; Cyclomatic Complexity: 1
Method: remove; Parameter types : Object; Cyclomatic Complexity: 1
Method: clear; Parameter types : ; Cyclomatic Complexity: 1
Method: getKey; Parameter types : Object; Cyclomatic Complexity: 1
Method: removeValue; Parameter types : Object; Cyclomatic Complexity: 1
Method: firstKey; Parameter types : ; Cyclomatic Complexity: 2
Method: lastKey; Parameter types : ; Cyclomatic Complexity: 2
Method: nextKey; Parameter types : K; Cyclomatic Complexity: 1
Method: previousKey; Parameter types : K; Cyclomatic Complexity: 1
Method: keySet; Parameter types : ; Cyclomatic Complexity: 2
Method: values; Parameter types : ; Cyclomatic Complexity: 2
Method: entrySet; Parameter types : ; Cyclomatic Complexity: 2
Method: mapIterator; Parameter types : ; Cyclomatic Complexity: 2
Method: inverseBidiMap; Parameter types : ; Cyclomatic Complexity: 2
Method: equals; Parameter types : Object; Cyclomatic Complexity: 1
Method: hashCode; Parameter types : ; Cyclomatic Complexity: 1
Method: toString; Parameter types : ; Cyclomatic Complexity: 1
Method: doPut; Parameter types : K, V; Cyclomatic Complexity: 2
Method: doRemoveKey; Parameter types : Object; Cyclomatic Complexity: 2
Method: doRemoveValue; Parameter types : Object; Cyclomatic Complexity: 2
Method: lookup; Parameter types : Object, DataElement; Cyclomatic Complexity: 2
Method: lookupKey; Parameter types : Object; Cyclomatic Complexity: 1
Method: lookupValue; Parameter types : Object; Cyclomatic Complexity: 1
Method: nextGreater; Parameter types : Node<K, V>, DataElement; Cyclomatic Complexity: 2
Method: nextSmaller; Parameter types : Node<K, V>, DataElement; Cyclomatic Complexity: 2
Method: compare; Parameter types : T, T; Cyclomatic Complexity: 1
Method: leastNode; Parameter types : Node<K, V>, DataElement; Cyclomatic Complexity: 2
Method: greatestNode; Parameter types : Node<K, V>, DataElement; Cyclomatic Complexity: 2
Method: copyColor; Parameter types : Node<K, V>, Node<K, V>, DataElement; Cyclomatic Complexity: 2
Method: isRed; Parameter types : Node<?, ?>, DataElement; Cyclomatic Complexity: 1
Method: isBlack; Parameter types : Node<?, ?>, DataElement; Cyclomatic Complexity: 1
Method: makeRed; Parameter types : Node<?, ?>, DataElement; Cyclomatic Complexity: 2
Method: makeBlack; Parameter types : Node<?, ?>, DataElement; Cyclomatic Complexity: 2
Method: getGrandParent; Parameter types : Node<K, V>, DataElement; Cyclomatic Complexity: 1
Method: getParent; Parameter types : Node<K, V>, DataElement; Cyclomatic Complexity: 1
Method: getRightChild; Parameter types : Node<K, V>, DataElement; Cyclomatic Complexity: 1
Method: getLeftChild; Parameter types : Node<K, V>, DataElement; Cyclomatic Complexity: 1
Method: rotateLeft; Parameter types : Node<K, V>, DataElement; Cyclomatic Complexity: 3
